	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep1	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep2	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep3	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep1	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep2	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep3	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep1	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep2	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep3
Acat2	0.081884967	0.172487516	-0.023005896	-0.066215883	-1.468171919	-0.135031421	-1.292581229	-1.320125852	-0.876254355
Sod2	0.286999397	0.937043014	0.591200673	0.529671048	0.708319689	-0.018001258	1.943471293	2.346531462	1.510404982
Ctnnb1	-0.130175961	0.255440305	0.729705026	-0.365350976	-0.14830492	-0.165272606	0.725959235	1.119024103	1.082702589
Eif1b	NA	NA	NA	NA	0.321350901	-0.421186849	NA	1.974015284	1.098486934
Psmd2	0.117960953	0.274887812	0.211386062	-0.441751961	0.093830572	0.142609487	-0.719019938	-0.175680195	0.066537002
Ap2m1	-1.141016432	-1.107336976	-0.002917191	0.692695	-0.043140421	0.184597684	-0.531677356	-1.860923485	-1.277638903
Hspa1l	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ddah2	-0.284809483	-0.454565329	-0.3980183	-0.119134272	-0.111134036	-0.215680292	-1.513584235	-4.072543436	-3.861175048
Clic1	0.065296567	1.461790463	-0.301443673	0.286053134	-1.072634465	-1.230803761	-1.145828766	-1.186984346	-1.115409893
M6pr	NA	NA	NA	NA	-0.492464117	-0.027939697	NA	1.39802195	1.093086862
Ppp2r1a	0.103396924	0.354903461	0.133300476	0.001730196	-0.105349066	0.260266587	-0.3045228	-0.199404457	0.220825216
Cav1	-0.215697045	-0.214574996	0.436481692	-0.00129901	0.096261853	0.606915942	-1.510498167	-1.331082121	-0.917760673
Arpp19	-0.472889618	0.045722536	NA	NA	NA	-0.405833672	NA	0.45301706	-0.047278785
Bcl2l1	-0.134651252	NA	0.208017755	NA	NA	NA	NA	NA	-1.709198162
Khsrp	0.413702389	0.16748639	0.231801023	-0.013421594	-0.042456799	0.064882852	NA	-0.137933511	0.077379741
Ccdc124	-0.238884966	1.851639118	0.728747725	0.708849377	0.336054824	-0.42575314	2.474046599	1.394514142	1.215430102
Rhoa	-0.543824675	NA	-0.136822732	NA	NA	NA	NA	-0.003047303	-0.186475311
Hnrnpa0	-0.424494032	0.361656083	0.245739032	-0.024355141	0.031536353	0.118758389	-0.810131173	-0.031312013	0.657640005
Rplp1	0.385707125	1.250597823	0.765534746	-0.131597693	-0.595118671	-0.761408773	0.055750964	0.241718175	-0.465878619
Ift22	0.066674763	-0.065098579	-0.137330411	NA	NA	NA	-1.479794015	-0.882624114	-0.71401786
Fhl2	0.092883966	0.462575888	0.104739216	-0.018366507	-0.160185495	-0.194410367	-1.099989163	-1.450991343	-0.886299501
Snrpb2	-0.287483454	0.304744658	0.51893793	NA	-0.200813201	0.26951197	0.84711499	0.431141535	2.661726801
Carhsp1	-0.068543859	-0.014193576	-0.533868871	NA	NA	-0.040793682	NA	-1.203800973	-1.223744379
Nutf2	-0.035253906	-0.15992758	-0.214658701	0.122871469	0.172487516	-0.100870784	-2.108487488	-0.8659894	-1.161040168
Rps18	-1.219605904	-0.306430525	0.161565256	-0.076371586	0.113833829	0.047957107	0.381615625	0.764261218	0.508530069
Rpl10	-3.062384422	-1.906439824	-0.732691935	0.293841299	-0.34327483	-0.598347691	0.008917095	-0.106684391	-0.169468821
Coro1b	-0.527907399	0.530869798	-0.065083487	0.040541794	0.978781377	-0.150128808	0.074642438	-0.733891123	-0.212801595
Acyp1	0.044184258	-0.351921168	-0.366819917	0.025879273	0.171463056	-0.187887914	-2.459813983	-0.733483287	-1.346334591
Sptbn2	0.197110515	-0.746688385	0.42932137	NA	NA	-0.487601164	NA	1.431088034	0.987539164
Rala	-0.473109887	0.105678078	0.282499113	-0.028307471	0.057138304	-0.055936192	0.442014566	2.896930552	3.461528559
Vdac3	NA	NA	NA	NA	1.255379874	NA	0.802565477	NA	NA
Rpl30	-0.463529276	-0.956599496	-0.145350001	0.021906077	-0.236282496	-0.147649524	0.201006466	0.53216732	0.537246361
Gabpa	0.363002823	1.644548517	0.917240784	NA	NA	0.260025656	0.190045887	0.266156864	0.337425664
Stk38	0.149389449	NA	-0.29576544	NA	NA	NA	NA	-0.647603041	NA
Dynll1	NA	-1.781057681	NA	-0.070163564	2.654916664	-1.993666066	-1.515356563	0.458696969	-0.199835221
Pdcl	0.387913924	NA	-0.007492583	NA	0.360757558	NA	NA	NA	NA
Ap1b1	-0.135364151	-0.017782154	-0.038791576	-0.251057949	-0.061721737	0.082293836	-0.130807669	0.550703696	0.738465217
Rarres2	-0.434012959	0.618332639	0.174917695	0.28475101	0.022616379	0.043204499	0.266396773	-0.009233882	0.478816529
Syn2	0.528971317	0.780646059	0.750177706	0.112766845	0.27524549	NA	-0.582836093	-0.72399176	-0.599156077
Srp14	-0.438580987	-0.284897364	0.025879273	NA	NA	-0.00400181	NA	0.021906077	-0.114659922
Ppp2cb	0.423309237	-0.258649513	0.361656083	NA	-0.052715371	-0.013538093	0.596076424	0.58842082	0.314406508
P4ha1	NA	NA	NA	NA	NA	0.458277001	NA	1.304452632	NA
Tfcp2	NA	NA	NA	NA	NA	0.713871743	NA	NA	2.724431996
Sdhb	NA	NA	NA	0.496820231	0.27857955	0.08120326	1.172231469	-2.628608416	NA
Snap47	-0.078563669	NA	-0.071618306	NA	-0.030869776	0.219586745	NA	0.861796599	-0.743134262
Slc3a2	-0.251573117	0.257855464	0.89677559	-0.00330756	0.254352163	0.052555009	1.068120453	1.363956004	1.143589335
Wdr77	0.32998465	0.578117532	0.214497868	-0.461958547	0.387913924	0.351628329	NA	-0.429284498	-0.238068
Nedd8	0.180529813	0.140386032	-0.540757256	NA	0.542703792	NA	-2.153863766	-1.43296085	-1.927194465
Plcd1	-0.375852303	NA	-0.859797229	NA	0.113433803	0.713607843	-0.043883856	0.039419183	0.203263813
Cars	-0.009146767	-0.104232068	-0.03935485	0.535057595	0.027437183	0.190425227	0.976070301	0.123533772	-0.052505892
Apip	-0.080713316	NA	-0.336118028	NA	NA	-0.305289153	-1.454545559	-0.981365826	-0.747414793
Thg1l	NA	NA	NA	NA	NA	NA	NA	-0.941669649	NA
Dhdh	0.211510663	-0.117724762	-0.274459504	-0.407554923	0.162338958	0.020626651	-2.297750281	0.199499604	-2.011471633
Fsd1	-0.365871442	0.343578377	0.219462839	0.316956668	0.29713271	-0.011660693	0.568129417	1.628120327	1.215430102
Pgam1	0.266516713	-0.205929382	-0.195549878	0.034356597	-0.136188385	-0.148704698	-1.053673376	-3.31387154	-3.469513694
Gltp	0.000865357	0.098419558	-0.327420779	-0.183654247	-0.116066438	-0.18337572	-0.087917362	-0.286603311	-0.094957237
Gstm2	-0.100360306	-0.509368261	-0.445951493	-0.212166378	-0.40529859	-0.000187563	-1.558474026	-0.667332162	-0.336591617
Rpa3	0.004465437	0.661658403	0.025170576	NA	NA	NA	NA	NA	NA
Tnpo3	-0.009103212	-0.180217386	-0.173758642	NA	0.062674363	0.048933645	NA	-0.481122482	-0.394543595
Strn3	0.183327706	-0.299950972	0.710437277	-0.339892834	-0.078061022	0.011209361	0.237686079	0.499271883	0.321119959
Atp6v0d1	NA	0.014498127	0.344714894	0.036468167	0.427177055	0.772139031	NA	1.887486278	-2.36497933
Bcas1	-0.612240442	-0.30789423	0.452490009	0.185739709	-0.118726939	0.048933645	1.128227402	1.471499642	0.927365535
Cad	-0.030427674	-0.48096139	-0.312186797	NA	NA	NA	NA	NA	-0.812080265
Pten	-0.242311048	-0.374448949	-0.465320801	NA	NA	NA	NA	-2.853188397	-2.47730141
Pea15a	-0.173449479	0.355016264	-0.206162367	0.178236585	-0.142799266	-0.225413219	-1.401444227	-0.561068458	-1.040378202
Crbn	NA	NA	-0.254530306	NA	1.429642743	NA	NA	-0.417713775	-0.16498143
Ppp1r12c	NA	NA	NA	NA	0.188274311	-0.151281926	NA	NA	0.456701031
Pip4k2c	-0.444399775	-0.074851263	-0.177963328	NA	0.003314389	-0.10430961	-2.062685743	2.710415235	-1.24779948
Myl10	NA	NA	NA	NA	1.539928043	0.722553458	NA	2.736474994	1.402885862
Chp1	-0.204582134	0.051720116	NA	NA	-0.608694192	NA	NA	0.14404637	NA
Dnajc7	0.103396924	-0.156160835	0.829118896	NA	0.308011315	0.032806145	NA	0.09369538	0.057831475
Cacybp	-0.001530068	0.218595202	0.002594517	-0.093463389	-0.069981824	0.16774328	-0.011747959	0.019630756	-0.056356178
Tsg101	-0.177767489	-0.419738719	-0.175859453	0.256286071	-0.25217438	0.325846898	2.207924078	2.463387045	2.16449668
Plg	0.953227984	-0.137584317	-0.542710406	NA	-0.026557707	-0.679596196	-2.137711287	-1.695675878	-2.52259207
U2af1	-0.364737811	1.362217377	0.763921421	NA	0.109026176	0.137110008	NA	0.316261617	-0.492870104
Wdfy2	NA	NA	NA	NA	NA	NA	NA	-0.182524089	NA
Rbsn	-0.18390005	0.72141641	-0.116394823	NA	0.096126889	0.097610797	NA	0.580145484	NA
Psmb1	0.181166174	0.406863158	0.177471364	-0.153462556	-0.308090694	0.220577607	-0.061405563	-0.000620492	0.118758389
Nol3	0.077379741	0.945008328	0.128161401	-0.352713124	-0.716291537	0.10755397	-1.599505789	-2.306002405	-2.139744326
Tppp2	-0.049516655	-0.042471657	0.238420026	-0.161072429	0.133826527	-0.272279903	0.634500338	0.955833538	0.500802053
Ppp1cb	-0.463986899	0.135797512	-0.014091592	0.014926544	-0.024501874	0.165558254	NA	0.201508404	0.811964175
Limk1	NA	NA	NA	NA	NA	-0.132783542	NA	NA	NA
Trappc2l	NA	NA	NA	NA	NA	NA	NA	0.292663973	0.079156207
C8g	1.232415171	-0.339436414	-0.539834105	NA	NA	NA	NA	NA	NA
Ptgds	NA	NA	NA	NA	0.645517218	0.626672753	NA	NA	NA
Edf1	0.12035194	1.220206113	0.851519191	0.541613956	0.174278571	-0.017154238	2.838629116	2.369103496	1.813524689
Aldh1a3	-0.502995751	0.631150858	-0.238919017	NA	NA	NA	NA	-2.367806248	-0.945387651
Hmgb3	-0.99142706	1.114433661	0.339935493	1.051163253	0.374733478	-0.113754226	1.383109814	1.351289098	4.034215715
Gdi1	0.320311371	0.286053134	-0.18972966	-0.016512002	-0.011253517	-0.062203659	-0.786994961	-0.203285971	-0.476618706
Ctss	1.429910498	NA	1.50771854	NA	NA	NA	NA	NA	NA
Mocs2	NA	-0.039888682	NA	NA	NA	NA	NA	-1.390018157	NA
Lama5	0.201884743	0.30018231	0.175428791	NA	-0.188956498	-0.030530819	0.114100452	-0.048665855	-0.121282505
Pdzd11	NA	NA	NA	NA	-0.075064012	0.104068226	NA	0.493442391	0.118758389
Prune	0.40042863	-0.186557401	-0.225177104	NA	NA	NA	-1.253016569	-1.299560282	-0.989936317
Capza2	0.346644922	0.385154897	0.352193538	-0.273343137	0.138945498	0.076285443	-3.348662152	2.269122938	3.853596506
Vps45	-1.160943387	NA	-0.595772618	NA	NA	0.226755123	NA	0.140124224	-1.92582342
Anp32e	-0.260169175	-0.311488386	0.239031363	-0.272419299	0.489234635	0.147697444	-0.893732093	-1.150977542	-0.357603402
Qdpr	0.032665112	-0.049979581	-0.192414265	-0.598871998	0.203639694	1.672877881	-0.553976738	-0.162040616	-0.690311566
Sqstm1	NA	NA	0.565109697	NA	NA	NA	NA	0.114766793	0.38659025
Cd5l	NA	NA	NA	NA	NA	NA	NA	-0.432999803	NA
Lta4h	0.283803271	-3.620955788	-0.519383296	0.027154052	-0.084976336	-0.105054218	-0.267513707	-4.907251314	-5.154570167
Rrbp1	-0.715154251	1.127435184	NA	0.432424977	0.136716384	-0.20541362	NA	1.121612255	1.017066724
Bola1	0.299947954	-0.138139893	-0.609398343	NA	NA	NA	NA	-0.718663767	-0.9617324
Adss	0.213876043	0.004465437	-0.870149909	NA	-0.211130571	-0.157930302	-2.941087845	0.821955065	0.978122395
Fnta	0.289008146	0.060462488	-0.005811323	-0.312616758	-0.29927621	0.28475101	-0.651835581	2.60675016	-3.675249294
Lbp	-0.027557312	0.92189329	0.755998484	NA	NA	0.829281298	-0.664608216	0.82130204	3.068378459
Ctsz	-2.203036843	-6.340747638	NA	NA	-5.588105226	-1.542710406	NA	-4.317376367	-3.500854684
Slc25a5	-1.639040225	NA	NA	NA	NA	NA	1.025595836	NA	NA
Pds5b	-1.618030057	NA	NA	NA	NA	NA	NA	0.929336534	-0.451267468
Cd34	-0.318901612	-0.015213808	0.001586092	NA	0.359746047	0.213627239	NA	-2.502586905	-2.467772822
Lamp2	NA	-0.272785278	0.797262055	NA	0.170181458	0.165172318	NA	NA	NA
Cul4a	-1.068876734	NA	NA	NA	-0.52609882	1.105745116	NA	NA	NA
Cul4b	-0.44789841	-0.216484675	-0.434519804	NA	-0.174491136	0.453122447	NA	-0.114050857	0.251809968
Myh9	-0.831280954	-0.77724489	-0.969310796	NA	NA	NA	-2.12481758	-1.871917805	-1.695021764
Ttll12	-0.106094211	-0.136521383	-0.514902969	NA	-0.067137554	-0.263802124	-1.714585944	-1.110292842	-0.633188227
Sdc4	-0.701928265	-0.243420728	-0.167798594	NA	0.074368422	-0.526306587	NA	-1.148288931	NA
Rnd3	NA	0.838669451	NA	NA	NA	NA	NA	NA	NA
Aoc3	-0.179645371	0.198745582	0.022900402	NA	NA	NA	NA	NA	-1.795208214
Psmd3	-0.77571271	-0.70627639	-0.100994563	NA	-0.297732547	0.574537521	0.020199923	-0.680821415	-0.136220096
Glod4	0.225891862	0.024886999	-0.316258638	0.015354834	-0.611909677	-0.262590124	-1.242532916	-0.919151354	-0.008638702
Taok1	-0.561174887	-0.06270081	-0.49349961	NA	1.720978845	-0.719067434	NA	-0.195979493	-0.287096125
Vtn	0.926986188	-0.074228393	0.222804561	NA	NA	NA	NA	-0.722586495	-1.110355135
Aldoc	-0.389621202	0.516216908	0.386921282	0.491493981	2.044464067	-0.340385928	0.446785562	0.509645176	0.449957484
Rpl19	0.331590576	-0.076341164	0.297484916	NA	NA	-0.479090021	0.861796599	0.794519841	-2.607616627
Plxdc1	NA	NA	-0.067318936	NA	NA	NA	NA	NA	-1.401825388
Zfp207	0.466757616	1.07990713	0.052972275	NA	-0.053778196	-0.386015808	0.928199748	1.268614046	1.973537807
Psmd11	0.151728955	0.345282818	0.342782282	-0.03497304	0.150169706	0.233274539	1.060462488	2.015176396	2.569223721
Ctsa	0.471031344	0.665756583	NA	NA	NA	NA	NA	-0.63827655	0.509442493
Crk	-0.087702709	0.163241085	-0.250594454	-0.144297276	0.126972856	-0.019901561	NA	-3.126454503	0.877273089
Rab5a	-0.143420592	0.019773069	0.018064389	NA	0.034638318	0.115965432	-0.003090676	-1.805711186	0.16117825
Gdap1l1	0.102322191	-0.414941323	-0.578757847	NA	0.201633861	0.069839625	NA	-0.260169175	0.084608575
Cyb5r3	-0.376994706	-0.087503418	0.397145797	-0.022214535	-1.266350642	0.159500022	1.148218272	1.12386481	2.453570255
Hist1h2bc	0.597221268	0.584962501	0.272978695	0.152507948	-0.259443682	-0.354630352	1.696483534	1.251082803	0.803805652
Csnk1d	NA	NA	NA	-0.387204026	-0.111991312	-0.030722394	NA	3.015961361	-2.340002396
Uchl5	0.396378727	0.699551633	0.525968621	-0.459238671	0.138552375	0.289834465	-2.392515807	2.675928814	1.511468039
Cdc73	-0.52732508	NA	NA	NA	NA	NA	NA	NA	NA
Psmb6	0.083519749	0.561790462	0.380507819	-0.038687838	-0.153189797	0.162596766	0.009060468	-0.236877418	0.003746139
Spag7	-0.032610024	0.12631213	0.074094354	NA	NA	NA	NA	-0.636638259	NA
Prpf8	-2.16805792	NA	-0.398854998	NA	NA	NA	NA	NA	-0.548522468
Ywhab	0.299479128	0.862748926	0.09423607	-0.079020773	-0.209161249	-0.130318071	-0.703689439	-1.381197535	-1.77675046
Stk3	NA	-0.32761992	NA	NA	NA	NA	NA	NA	-0.572715654
4-Sep	NA	0.306028869	NA	NA	0.584673933	-0.255580534	NA	2.332450159	1.160016608
Drg2	-0.609882646	-0.637064484	-0.592418829	NA	-1.053493701	0.371503105	-1.13844158	-1.312401761	-0.940063331
Myh4	-0.272314751	-0.016001337	-1.498219489	NA	NA	NA	-2.41319203	-1.052505892	-1.871073167
Myh1	NA	0.748718834	-0.574175502	NA	NA	NA	NA	NA	NA
Pip4k2b	-0.087120242	0.030971642	0.101381142	NA	0.056028539	-0.206595154	NA	-0.677702622	-0.867725875
Gabarap	0.234378689	NA	NA	0.319155458	-0.077649896	-0.09324791	NA	0.221567789	NA
G3bp1	0.66448284	0.40740714	1.112766845	0.42234066	0.175556536	-0.01912652	0.441589712	0.59454855	0.847596102
Sparc	-0.500850601	0.138290234	0.387472834	0.616545903	-0.016730914	0.138814469	2.895302621	0.941632198	0.567642792
Pdlim4	-0.202887386	-0.23636747	-0.189992958	NA	0.561790462	NA	-1.430936725	-2.27900365	-3.149312573
Dusp14	NA	NA	NA	-0.23633348	NA	-0.021496823	NA	NA	NA
Pnpo	NA	0.289008146	NA	NA	NA	NA	NA	-2.390623251	-1.629947344
Copz2	0.236217064	NA	NA	NA	NA	NA	NA	NA	-0.165677114
Ap2b1	-0.125100761	-0.196194348	0.021195425	0.10191896	0.208891775	0.045023522	0.803970928	0.867896464	0.746656736
Myh10	-0.972421273	-0.470728756	-1.267044896	-0.25732112	0.282024581	NA	4.960882345	-0.842231889	-1.638411287
Fxr1	NA	NA	NA	NA	0.352758525	-0.118820928	NA	NA	NA
Lsp1	1.427927928	2.011137783	1.041523362	NA	NA	NA	NA	NA	-0.80233587
Sfrp5	-1.246703545	NA	NA	NA	NA	NA	NA	-0.851183007	NA
Rars	-0.545697745	-0.76221604	-0.180805981	NA	-0.149824666	-0.180675162	NA	1.170950553	-2.16326792
Mb	0.60539951	-1.954892579	NA	NA	NA	-3.448051915	NA	-2.174491136	-3.208227596
9-Sep	-0.672335627	0.818523382	0.621618213	0.796182411	0.110496882	0.078883047	1.972876425	0.816640663	0.966947205
Ccl6	1.603216843	0.721503907	1.808385051	NA	NA	NA	NA	1.520547968	NA
Ywhah	0.257493448	0.440845918	0.209765266	-0.178175517	-0.225092787	-0.029440803	-1.298459814	-3.53881513	-3.424935563
Sart3	-0.473470401	-1.263507687	NA	NA	NA	NA	NA	NA	NA
Hnrnpd	0.205017088	NA	0.46100461	NA	0.735522177	-0.312025596	NA	0.907121408	1.3305584
Gga3	0.351628329	0.349818172	-0.180707865	NA	0.05046687	0.27524549	NA	-0.511197098	-0.268712471
Fis1	-0.263802124	0.265796925	0.346304516	-0.054676969	0.073546061	0.051580921	-0.392269634	0.209640514	0.132247798
Strn4	NA	NA	NA	NA	-0.395074702	NA	NA	NA	NA
Scrn1	0.118492626	0.194843512	-0.065234421	-0.027660252	0.172615522	0.543594864	-2.601562064	-2.474732908	-1.663693758
Isyna1	0.145090477	0.360869904	0.038295698	-0.051145021	0.128293401	-0.113379622	-0.781181642	0.135928816	1.655260226
Rab5c	0.117695043	0.179893171	0.171719239	-0.221959678	-0.077223667	0.062812492	0.800578978	-1.056641237	1.488257913
Mdh2	0.19887128	-0.170864863	0.457226546	0.545177635	0.509239782	-0.210763206	2.42886597	5.175045486	-4.830208374
Atp6v1e1	0.373063499	0.151469198	0.00273852	-0.2968993	0.105543992	0.103665483	-0.735667753	0.14912927	0.200629898
Tecr	NA	NA	NA	NA	NA	0.217354814	NA	NA	NA
Map1s	-0.361972515	0.061015775	0.393526032	0.319849117	0.143654635	-0.101242154	0.791522378	0.811306611	0.660746113
Dpep1	-0.620578656	-0.812434928	-0.330828065	NA	NA	-0.177898045	-2.353210621	-3.13606155	-2.850272387
Psme3	1.042504263	0.541713066	NA	NA	NA	NA	-1.087242847	-0.738890471	NA
Nrbp2	-0.086721847	0.139862368	-0.044657435	NA	-0.098768158	0.274887812	NA	-0.57044295	-0.359638207
Cops3	-1.089543625	-0.201460027	-0.457316016	NA	0.063226802	0.046979908	-0.224182473	0.049770152	0.784755229
Gipc1	0.323312418	0.524163999	-0.151762664	NA	-0.793706866	-0.260272847	-1.01187887	-1.15168253	-1.006912617
Plscr3	NA	NA	0.479334051	0.082021269	-0.052745299	0.031112841	NA	1.87958815	NA
Cdc37	-0.032742841	0.327572404	0.058385771	-0.194856156	-0.133099932	0.169540231	-0.207727673	0.871685968	-1.297041096
Myh8	-0.093463389	0.768417255	-0.940257102	NA	NA	NA	NA	-2.730440156	-2.554103827
Trip10	-0.173742369	0.504264441	0.112633417	1.542456175	-0.002989474	-0.049501724	0.183581791	0.126708602	0.130008304
Cops6	0.243790925	0.465295389	0.238664592	-0.576174454	0.097880434	0.098150021	2.87752832	-0.317768316	-0.606188444
Armc6	0.109561152	0.479541007	-0.237421562	NA	0.844385653	-0.268851523	-1.388770952	-3.014732751	-1.802486835
Rcn3	NA	NA	0.356481902	NA	NA	0.278222698	NA	-0.391796343	NA
Ubxn6	-0.187148589	-0.157061383	-0.002758182	NA	-0.063982141	-0.144791642	0.138683428	-0.063861497	0.08827731
Mydgf	NA	NA	NA	NA	0.624522058	0.521352314	NA	NA	NA
Plin3	-0.167020896	-0.214926589	-0.157544051	NA	0.236951759	0.90842865	-1.948252046	-1.990222878	-2.770633574
Akt3	NA	0.008773707	-0.490881858	NA	NA	NA	NA	-1.300412834	0.299244658
L3hypdh	0.352080514	-0.052999712	-0.353063197	NA	NA	NA	NA	-0.997088695	NA
Hdac2	NA	NA	NA	NA	NA	NA	NA	0.928957705	NA
Rwdd1	NA	0.406754337	-0.332752748	NA	-0.112786697	0.105409894	-0.67691821	0.881116409	0.009633819
Snx3	-0.10688635	0.437547355	0.351062899	-0.031769134	-0.176870235	0.06997707	0.697862762	0.671927385	0.621336886
Mical1	-0.193453213	-0.298300139	-0.528781318	NA	0.083655897	0.43199729	-1.693761096	-0.852823573	-0.210229023
Rab32	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wasf1	-0.09824298	NA	NA	NA	1.644317778	-0.15432931	NA	NA	NA
Lama4	0.153156788	0.22527493	0.168770384	0.003746139	-0.175142554	-0.081995481	-0.227387976	-0.212868477	-0.551247025
Arfgef3	-0.267426879	NA	NA	NA	NA	NA	NA	NA	NA
Hebp2	0.628073654	0.314290484	-0.116535582	-0.371011824	-0.235517956	-0.243574443	-2.332353074	-2.856737207	-2.397600133
Gopc	NA	NA	0.53465928	NA	NA	NA	NA	-0.569179503	-0.034086456
Fabp7	-1.007956724	-1.350412131	-1.256252393	NA	0.331361267	0.429107082	NA	0.735435526	0.37928825
Echdc1	0.28936234	-0.142353351	-0.348720941	NA	-1.258390639	0.071076162	-1.168479424	-3.823350424	-0.419584337
Lims1	NA	NA	NA	NA	0.293605911	0.202511756	NA	-2.793456793	NA
Atp2b1	NA	-0.035505253	NA	NA	NA	NA	NA	NA	NA
Hbs1l	-0.24376234	-1.096776583	-0.127210632	NA	0.152897287	1.069152202	NA	0.361880627	0.250840334
Arg1	2.312665174	1.633338205	1.907506014	NA	NA	NA	NA	NA	NA
Map7	NA	NA	NA	NA	NA	NA	NA	0.312316654	NA
Stx7	NA	-1.265379247	1.025454096	0.104470858	0.053528441	0.022048165	NA	1.243912759	1.482693424
Snrpf	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nudt4	-0.479431918	NA	NA	NA	NA	NA	-1.732212539	NA	-1.532073669
Timp3	NA	NA	NA	NA	-0.354372115	-0.141827985	NA	NA	NA
Hsp90b1	0.113300436	0.261470639	0.469365054	-0.063152915	0.597221268	0.3934162	1.117761525	1.269751322	0.881038076
Ccdc53	NA	NA	NA	NA	NA	NA	NA	NA	NA
Herc4	-0.039206599	NA	-0.884726994	NA	NA	NA	NA	NA	NA
Hnrnph3	-0.038865678	0.139076515	0.322158908	-0.217960544	0.214746523	0.234746552	3.054813755	2.721153887	4.397118409
Sar1a	-0.038969428	0.078746447	-0.209628303	NA	NA	NA	-1.198791668	-0.94911526	-0.956123595
Ppa1	0.800578978	0.194591403	-0.059299504	-0.342963721	-0.024516548	0.115832299	-0.772012541	1.824116101	0.949497581
Pcbd1	NA	-0.201393672	0.011352507	NA	NA	NA	-2.916589179	-1.345234529	-1.859247516
Cand1	-0.019360451	0.613060107	-0.125509898	-0.138139893	-0.009814782	0.533463677	-0.841585411	-0.591092533	-0.871759398
Egfr	-0.415749404	-0.416269125	-0.258770336	NA	NA	NA	NA	NA	-1.490699402
Usp15	-0.084670324	-0.135395844	-0.245642652	NA	0.636450617	NA	NA	NA	-2.883741719
Tbc1d15	0.029558897	-0.027410268	-0.070012112	NA	-3.214909845	-2.160298348	-1.78796613	-0.890171435	-0.623909696
Rab21	0.175684271	0.069702167	0.468009774	-0.148368877	0.476640909	0.006190289	0.271186602	0.635522241	1.200127654
Gamt	NA	0.097206246	NA	NA	NA	NA	-0.793906955	NA	-1.483904145
Snrpd3	0.031818626	-0.012213472	0.143262793	NA	NA	-0.263005552	NA	0.641730978	NA
Csrp2	-0.627627325	-0.16805792	-0.357344632	NA	0.354452161	0.374622206	-1.713024252	-1.066457576	-0.789037663
Ap3d1	-2.498015727	NA	NA	NA	NA	NA	NA	NA	NA
Txnrd1	0.338338835	0.278936315	0.016924144	-0.657877673	-0.615994414	-0.025823145	-1.031297269	-0.665752105	-0.654512785
Wdr82	-0.242754817	0.055612157	-0.403408284	0.300299474	-0.682811722	-0.492788897	0.878843028	2.042118989	0.078746447
Appl2	NA	NA	-0.254564728	NA	NA	NA	NA	NA	-1.520935037
Sumo3	0.136060107	-0.096421785	-0.441869539	NA	-0.064268712	0.282854909	NA	NA	NA
Hint1	0.236706902	-0.182474972	-0.411348919	0.031677496	-0.062851496	-0.335280522	-1.036821844	-0.645750971	-1.18449015
Pfkl	0.164786278	-0.358675941	-0.384131754	NA	-0.287219355	1.402231009	NA	-0.706912079	-0.409105807
Ahsa2	-0.068195936	0.492109553	-0.206545211	NA	1.491904391	-0.211330992	NA	0.63978783	-1.104821487
Xpo1	0.050606174	-0.015870052	-0.209861886	-0.607352856	0.622836666	-0.079417046	-0.517502755	2.248686627	-0.775342266
Nudcd2	-0.088837663	-0.252243111	-0.36678271	NA	NA	NA	NA	-0.728072396	-0.175533546
Ppp2ca	0.395611249	0.411426246	0.185232254	-0.141955329	0.509746506	0.073408955	1.715234455	0.510354341	1.855511377
Hspa4	0.217602977	0.247684513	-0.046757114	-0.204033615	-0.014484997	-0.115503667	0.061707085	1.80805549	2.289185254
